police_station,volume,impact,junction_events,main_road_events,high_sev_events,active_days,active_cells,junction_share,impact_per_event,density
Upparpet,29202,89212.0,29030,580,606,152,31,0.9941099924662694,3.054996233134717,942.0
Shivajinagar,21985,63292.0,17670,407,730,151,41,0.8037298157834888,2.8788719581532862,536.219512195122
HAL Old Airport,16656,44460.5,0,4365,4601,150,122,0.0,2.669338376560999,136.52459016393442
Malleshwaram,18620,44182.5,6400,195,231,151,74,0.34371643394199786,2.3728517722878624,251.6216216216216
City Market,14481,44014.5,13631,449,504,151,42,0.9413023962433533,3.0394655065257923,344.7857142857143
Vijayanagara,11546,35314.0,11022,385,417,151,90,0.9546163173393383,3.05854841503551,128.2888888888889
Rajajinagar,8781,26178.5,6936,631,661,151,116,0.7898872565766997,2.9812663705728277,75.69827586206897
Magadi Road,6793,19795.0,5247,324,357,151,89,0.7724127778595613,2.914029147651995,76.32584269662921
Kodigehalli,8943,18148.5,0,61,171,151,133,0.0,2.0293525662529355,67.2406015037594
Halasuru Gate,5145,15932.0,5138,149,187,148,48,0.998639455782313,3.0965986394557823,107.1875
Mahadevapura,5122,14692.0,0,1694,1907,147,128,0.0,2.8684107770402187,40.015625
Jeevanbheemanagar,5730,14326.5,616,832,944,150,99,0.1075043630017452,2.500261780104712,57.878787878787875
K.R. Pura,5307,13910.0,0,1284,1370,151,92,0.0,2.6210665159223665,57.68478260869565
Chikkajala,4712,12340.5,0,1149,1193,149,46,0.0,2.618951612903226,102.43478260869566
High ground,4059,11587.5,3293,58,64,145,49,0.8112835673811284,2.854767184035477,82.83673469387755
Chamarajpet,3075,11237.0,3000,681,720,146,43,0.975609756097561,3.654308943089431,71.51162790697674
Byatarayanapura,3449,10425.5,1822,611,635,149,67,0.5282690634966657,3.022760220353726,51.47761194029851
Jayanagara,3175,10221.0,3093,247,272,149,63,0.9741732283464567,3.2192125984251967,50.3968253968254
Basavanagudi,3113,9087.0,2547,107,110,150,60,0.8181818181818182,2.9190491487311276,51.88333333333333
Bellandur,4008,8525.0,0,200,209,148,88,0.0,2.1269960079840318,45.54545454545455
Cubbon Park,2744,8275.0,2339,150,152,148,67,0.8524052478134111,3.01567055393586,40.95522388059702
Banaswadi,3137,8189.0,0,730,820,147,123,0.0,2.6104558495377748,25.504065040650406
Wilson Garden,2754,7816.5,2193,40,44,151,66,0.7962962962962963,2.838235294117647,41.72727272727273
Halasur,3326,7743.5,310,300,330,151,58,0.09320505111244738,2.3281719783523753,57.3448275862069
HSR Layout,3781,7726.0,0,52,86,149,94,0.0,2.0433747685797408,40.223404255319146
Ashok Nagar,2844,7670.5,1632,126,135,148,77,0.5738396624472574,2.6970815752461323,36.935064935064936
Adugodi,2839,7622.0,1391,194,206,148,83,0.48996125396266293,2.6847481507573088,34.204819277108435
Electronic City,3242,7355.0,0,340,361,151,116,0.0,2.268661320172733,27.948275862068964
Mico Layout,2195,7012.5,1342,456,459,141,66,0.6113895216400911,3.194760820045558,33.25757575757576
Pulikeshinagar(F.Town),3229,6653.5,0,71,89,145,68,0.0,2.0605450603902136,47.48529411764706
Sheshadripuram,2628,6037.0,572,59,88,147,49,0.2176560121765601,2.2971841704718416,53.63265306122449
Hebbala,2714,5451.0,0,6,14,143,37,0.0,2.0084745762711864,73.35135135135135
Whitefield,1864,5396.0,0,626,729,143,93,0.0,2.8948497854077253,20.043010752688172
Yeshwanthpura,2102,5274.5,0,425,433,150,68,0.0,2.509276879162702,30.91176470588235
V.V.Puram (C.Pet),1372,4252.5,1372,43,48,135,40,1.0,3.0994897959183674,34.3
Yelahanka,1935,4039.5,0,65,72,144,99,0.0,2.087596899224806,19.545454545454547
Hulimavu,1919,3846.5,0,3,4,141,79,0.0,2.0044293903074517,24.29113924050633
J.P. Nagar,1280,3669.0,873,79,81,137,79,0.68203125,2.86640625,16.20253164556962
Madiwala,1235,3591.0,583,202,204,141,64,0.4720647773279352,2.9076923076923076,19.296875
Banashankari,1010,2842.0,643,62,65,119,69,0.6366336633663366,2.8138613861386137,14.63768115942029
R.T. Nagar,1374,2836.5,15,27,33,139,57,0.010917030567685589,2.064410480349345,24.105263157894736
Sadashivanagar,1242,2808.5,55,105,107,128,68,0.04428341384863124,2.2612721417069244,18.264705882352942
Kamakshipalya,1184,2774.5,218,70,72,133,59,0.18412162162162163,2.3433277027027026,20.06779661016949
K.S. Layout,698,2099.0,139,223,225,130,60,0.1991404011461318,3.007163323782235,11.633333333333333
Jalahalli,928,2076.0,0,88,88,131,50,0.0,2.2370689655172415,18.56
Jnanabharathi,888,1998.5,0,85,95,139,68,0.0,2.250563063063063,13.058823529411764
Hennuru,724,1701.5,0,101,102,118,86,0.0,2.3501381215469612,8.418604651162791
Peenya,728,1644.0,0,74,77,118,58,0.0,2.258241758241758,12.551724137931034
Thalagattapura,747,1616.5,0,47,52,130,66,0.0,2.1639892904953144,11.318181818181818
Devanahalli Airport,750,1556.0,0,22,23,110,62,0.0,2.074666666666667,12.096774193548388
K.G. Halli,676,1434.5,0,31,36,96,51,0.0,2.122041420118343,13.254901960784315
Chikkabanavara,609,1320.0,0,40,42,126,53,0.0,2.167487684729064,11.49056603773585
Kengeri,395,1034.0,0,94,103,107,54,0.0,2.617721518987342,7.314814814814815
No Police Station,281,656.5,13,31,35,83,48,0.046263345195729534,2.3362989323843415,5.854166666666667
